# Typealike Interactions
#<time>,E,experiment,{type:start, participantid:<participantId>, study:<studyId>, datetime:<time>}
#<time>,E,experiment,{type:end, participantid:<participantId>, score:<score>, datetime:<time>, duration:<duration>}
#<time>,E,block,{type:start, num:<blockNum>, numBlocks:<numBlocks>, datetime:<time>}
#<time>,E,block,{type:end, num:<blockNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,sequence,{type:start, blockNum:<blockNum>, num:<sequenceNum>, datetime:<time>, taskOrder:<taskOrderIndex>}
#<time>,E,sequence,{type:end, num:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,trial,{type:start, label:<labelName>, targetType:<targetType>, datetime:<time>, sequenceNum:<sequenceNum>, blockNum:<blockNum>, num:<targetNum>, startX:<startX>, startY:<startY>, width:<targetWidth>, height:<targetHeight>}
#<time>,E,trial,{type:end, label:<labelName>, action:<hit/miss>, targetType:<targetType>, num:<taskNum>, blockNum:<blockNum>, sequenceNum:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,M,video, datetime:<time>
# schema,{type:I, subtype:key, data:[event, keyname, modifierkey], type:[str,str], description:[<pressed/released>, <keycode>, <Shift/Ctrl/Alt/none>] }
# schema,{type:I, subtype:mouse, data:[event, x, y], type:[str, int,int], description:[moved/pressed/released,<x-coordinate>,<y-coordinate>]}
# schema,{type:I, subtype:posture, data:[name], type:[str], description:[<posture name>] }
# START LOG
1564252191073,E,experiment,{"type":"start","participantid":"participant_16","study":"one","datetime":"2019-07-27T18:29:51.053Z"}
1564252191129,E,block,{"type":"start","num":"0","numBlocks":"1","datetime":"2019-07-27T18:29:51.129Z"}
1564252246130,M,video,{"datetime":"2019-07-27T18:30:46.130Z"}
1564252246164,M,video,{"datetime":"2019-07-27T18:30:46.164Z"}
1564252246196,M,video,{"datetime":"2019-07-27T18:30:46.196Z"}
1564252246229,M,video,{"datetime":"2019-07-27T18:30:46.229Z"}
1564252246262,M,video,{"datetime":"2019-07-27T18:30:46.262Z"}
1564252246297,M,video,{"datetime":"2019-07-27T18:30:46.297Z"}
1564252246328,M,video,{"datetime":"2019-07-27T18:30:46.328Z"}
1564252246362,M,video,{"datetime":"2019-07-27T18:30:46.362Z"}
1564252246397,M,video,{"datetime":"2019-07-27T18:30:46.397Z"}
1564252246429,M,video,{"datetime":"2019-07-27T18:30:46.429Z"}
1564252246462,M,video,{"datetime":"2019-07-27T18:30:46.462Z"}
1564252246495,M,video,{"datetime":"2019-07-27T18:30:46.495Z"}
1564252246531,M,video,{"datetime":"2019-07-27T18:30:46.531Z"}
1564252246564,M,video,{"datetime":"2019-07-27T18:30:46.564Z"}
1564252246596,M,video,{"datetime":"2019-07-27T18:30:46.596Z"}
1564252246628,M,video,{"datetime":"2019-07-27T18:30:46.628Z"}
1564252246665,M,video,{"datetime":"2019-07-27T18:30:46.665Z"}
1564252246695,M,video,{"datetime":"2019-07-27T18:30:46.695Z"}
1564252246729,M,video,{"datetime":"2019-07-27T18:30:46.729Z"}
1564252246764,M,video,{"datetime":"2019-07-27T18:30:46.764Z"}
1564252246797,M,video,{"datetime":"2019-07-27T18:30:46.797Z"}
1564252246831,M,video,{"datetime":"2019-07-27T18:30:46.831Z"}
1564252246866,M,video,{"datetime":"2019-07-27T18:30:46.866Z"}
1564252246898,M,video,{"datetime":"2019-07-27T18:30:46.898Z"}
1564252246930,M,video,{"datetime":"2019-07-27T18:30:46.930Z"}
1564252246962,M,video,{"datetime":"2019-07-27T18:30:46.961Z"}
1564252246997,M,video,{"datetime":"2019-07-27T18:30:46.997Z"}
1564252247029,M,video,{"datetime":"2019-07-27T18:30:47.029Z"}
1564252247062,M,video,{"datetime":"2019-07-27T18:30:47.062Z"}
1564252247098,M,video,{"datetime":"2019-07-27T18:30:47.098Z"}
1564252247128,M,video,{"datetime":"2019-07-27T18:30:47.128Z"}
1564252247162,M,video,{"datetime":"2019-07-27T18:30:47.162Z"}
1564252247197,M,video,{"datetime":"2019-07-27T18:30:47.197Z"}
1564252247229,M,video,{"datetime":"2019-07-27T18:30:47.229Z"}
1564252247262,M,video,{"datetime":"2019-07-27T18:30:47.262Z"}
1564252247297,M,video,{"datetime":"2019-07-27T18:30:47.297Z"}
1564252247329,M,video,{"datetime":"2019-07-27T18:30:47.329Z"}
1564252247364,M,video,{"datetime":"2019-07-27T18:30:47.364Z"}
1564252247397,M,video,{"datetime":"2019-07-27T18:30:47.397Z"}
1564252247429,M,video,{"datetime":"2019-07-27T18:30:47.429Z"}
1564252247464,M,video,{"datetime":"2019-07-27T18:30:47.464Z"}
