frame= 2385 fps= 30 q=21.0 size=   76800kB time=00:01:17.53 bitrate=8114.5kbits/s speed=0.976x    
frame= 2400 fps= 30 q=21.0 size=   77312kB time=00:01:18.03 bitrate=8116.3kbits/s speed=0.976x    
frame= 2416 fps= 30 q=21.0 size=   77824kB time=00:01:18.56 bitrate=8114.6kbits/s speed=0.976x    
frame= 2432 fps= 30 q=21.0 size=   78336kB time=00:01:19.10 bitrate=8112.9kbits/s speed=0.976x    
frame= 2447 fps= 30 q=21.0 size=   78848kB time=00:01:19.60 bitrate=8114.6kbits/s speed=0.977x    
frame= 2462 fps= 30 q=21.0 size=   79104kB time=00:01:20.10 bitrate=8090.1kbits/s speed=0.977x    
frame= 2478 fps= 30 q=21.0 size=   79616kB time=00:01:20.63 bitrate=8088.6kbits/s speed=0.977x    
frame= 2493 fps= 30 q=21.0 size=   80128kB time=00:01:21.13 bitrate=8090.5kbits/s speed=0.977x    
frame= 2508 fps= 30 q=21.0 size=   80640kB time=00:01:21.63 bitrate=8092.3kbits/s speed=0.977x    
frame= 2524 fps= 30 q=21.0 size=   81152kB time=00:01:22.16 bitrate=8090.8kbits/s speed=0.977x    
frame= 2540 fps= 30 q=21.0 size=   81664kB time=00:01:22.70 bitrate=8089.4kbits/s speed=0.977x    
frame= 2555 fps= 30 q=21.0 size=   82176kB time=00:01:23.20 bitrate=8091.2kbits/s speed=0.978x    
frame= 2570 fps= 30 q=21.0 size=   82688kB time=00:01:23.70 bitrate=8093.0kbits/s speed=0.978x    
frame= 2586 fps= 30 q=21.0 size=   83200kB time=00:01:24.23 bitrate=8091.5kbits/s speed=0.978x    
frame= 2601 fps= 30 q=21.0 size=   83456kB time=00:01:24.73 bitrate=8068.5kbits/s speed=0.978x    
frame= 2617 fps= 30 q=21.0 size=   83968kB time=00:01:25.26 bitrate=8067.2kbits/s speed=0.978x    
frame= 2633 fps= 30 q=21.0 size=   84480kB time=00:01:25.80 bitrate=8066.0kbits/s speed=0.978x    
frame= 2649 fps= 30 q=21.0 size=   84992kB time=00:01:26.33 bitrate=8064.7kbits/s speed=0.978x    
