,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
116,participant_31,0,1,22,116,word,whirl,1567119266573,1567119269977,1567119266573,62,5771,5833,0,0,False,NA,NA,NA,NA,NA
117,participant_31,0,1,22,117,shortcut,F,1567119270007,1567119272344,1567119272344,5771,1433,7204,0,0,False,shortcut,shortcut,shortcut,shortcut,word
118,participant_31,0,1,23,118,click,click me,1567119272409,1567119273777,1567119273777,1433,1702,3135,0,0,False,NA,NA,NA,NA,NA
119,participant_31,0,1,23,119,shortcut,Z,1567119273806,1567119275479,1567119275479,1702,1165,2867,0,0,False,shortcut,shortcut,shortcut,shortcut,click
120,participant_31,0,1,24,120,click,click me,1567119275543,1567119276644,1567119276644,1165,1767,2932,0,0,False,NA,NA,NA,NA,NA
121,participant_31,0,1,24,121,shortcut,G,1567119276676,1567119278411,1567119278411,1767,1130,2897,0,0,False,shortcut,shortcut,shortcut,shortcut,click
122,participant_31,0,1,25,122,click,click me,1567119278477,1567119279541,1567119279541,1130,2166,3296,0,0,False,NA,NA,NA,NA,NA
123,participant_31,0,1,25,123,shortcut,F,1567119279577,1567119281707,1567119281707,2166,103,2269,0,0,False,shortcut,shortcut,shortcut,shortcut,click
124,participant_31,0,1,26,124,word,couch,1567119281777,1567119283877,1567119281810,103,4134,4237,0,0,False,NA,NA,NA,NA,NA
125,participant_31,0,1,26,125,shortcut,A,1567119283909,1567119285944,1567119285944,4134,1264,5398,0,0,False,shortcut,shortcut,shortcut,shortcut,word
126,participant_31,0,1,27,126,click,click me,1567119286010,1567119287208,1567119287208,1264,1499,2763,0,0,False,NA,NA,NA,NA,NA
127,participant_31,0,1,27,127,shortcut,C,1567119287243,1567119288707,1567119288707,1499,70,1569,0,0,False,shortcut,shortcut,shortcut,shortcut,click
128,participant_31,0,1,28,128,word,Opera,1567119288776,1567119294809,1567119288777,70,7967,8037,0,0,True,NA,NA,NA,NA,NA
129,participant_31,0,1,28,129,shortcut,F,1567119294809,1567119296744,1567119296744,7967,67,8034,0,0,False,shortcut,shortcut,shortcut,shortcut,word
130,participant_31,0,1,29,130,word,hen's,1567119296810,1567119300511,1567119296811,67,5564,5631,0,0,False,NA,NA,NA,NA,NA
131,participant_31,0,1,29,131,shortcut,U,1567119300543,1567119302375,1567119302375,5564,1869,7433,0,0,False,shortcut,shortcut,shortcut,shortcut,word
132,participant_31,0,1,30,132,click,click me,1567119302443,1567119304244,1567119304244,1869,1901,3770,0,0,False,NA,NA,NA,NA,NA
133,participant_31,0,1,30,133,shortcut,T,1567119304278,1567119306145,1567119306145,1901,66,1967,0,0,False,shortcut,shortcut,shortcut,shortcut,click
134,participant_31,0,1,31,134,word,Gouge,1567119306210,1567119308679,1567119306211,66,6601,6667,0,0,False,NA,NA,NA,NA,NA
135,participant_31,0,1,31,135,shortcut,E,1567119308710,1567119312812,1567119312812,6601,199,6800,0,0,False,shortcut,shortcut,shortcut,shortcut,word
136,participant_31,0,1,32,136,word,Today,1567119312873,1567119317612,1567119313011,199,6733,6932,0,0,False,NA,NA,NA,NA,NA
137,participant_31,0,1,32,137,shortcut,V,1567119317643,1567119319744,1567119319744,6733,1900,8633,0,0,False,shortcut,shortcut,shortcut,shortcut,word
138,participant_31,0,1,33,138,click,click me,1567119319808,1567119321644,1567119321644,1900,2267,4167,0,0,False,NA,NA,NA,NA,NA
139,participant_31,0,1,33,139,shortcut,N,1567119321677,1567119323911,1567119323911,2267,66,2333,0,0,False,shortcut,shortcut,shortcut,shortcut,click
140,participant_31,0,1,34,140,word,lives,1567119323977,1567119325913,1567119323977,66,4698,4764,0,0,False,NA,NA,NA,NA,NA
141,participant_31,0,1,34,141,shortcut,X,1567119325942,1567119328675,1567119328675,4698,1435,6133,0,0,False,shortcut,shortcut,shortcut,shortcut,word
142,participant_31,0,1,35,142,click,click me,1567119328744,1567119330110,1567119330110,1435,2002,3437,0,0,False,NA,NA,NA,NA,NA
143,participant_31,0,1,35,143,shortcut,C,1567119330142,1567119332112,1567119332112,2002,0,2002,0,0,False,shortcut,shortcut,shortcut,shortcut,click
144,participant_31,1,2,0,144,click,click me,1567119368914,1567119370981,1567119370981,0,1410,1410,0,0,False,NA,NA,NA,NA,NA
145,participant_31,1,2,0,145,posture,Left_Close_0_On,1567119371013,1567119372391,1567119372391,1410,1623,3033,33,0,False,On,180,Close,Left,click
146,participant_31,1,2,1,146,word,China,1567119372410,1567119378414,1567119374014,1623,6442,8065,0,0,True,NA,NA,NA,NA,NA
147,participant_31,1,2,1,147,posture,Left_Close_0_Below,1567119378414,1567119380456,1567119380456,6442,1525,7967,19,8,False,Below,180,Close,Left,word
148,participant_31,1,2,2,148,click,click me,1567119380477,1567119381981,1567119381981,1525,1307,2832,0,0,False,NA,NA,NA,NA,NA
