,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
285,participant_31,1,3,34,285,shortcut,P,1567119643932,1567119645569,1567119645569,3836,1533,5369,1637,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
287,participant_31,1,3,35,287,shortcut,N,1567119647134,1567119649002,1567119649002,1900,0,1900,1868,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
289,participant_31,2,4,0,289,posture,Left_Close_0_On,1567119657902,1567119659080,1567119659080,1215,1222,2437,1178,33,0,False,On,0,Close,Non Dominant,click,word
291,participant_31,2,4,1,291,posture,Left_Close_0_Below,1567119661199,1567119662682,1567119662682,2380,1518,3898,1483,26,0,False,Below,0,Close,Non Dominant,word,click
293,participant_31,2,4,2,293,posture,Left_Close_0_Beside,1567119664233,1567119665511,1567119665511,1311,1190,2501,1278,28,0,False,Beside,0,Close,Non Dominant,click,word
295,participant_31,2,4,3,295,posture,Left_Close_90_On,1567119667633,1567119668715,1567119668715,2014,1022,3036,1082,29,0,False,On,90,Close,Non Dominant,word,word
297,participant_31,2,4,4,297,posture,Left_Close_90_Below,1567119670702,1567119671681,1567119671681,1944,1685,3629,979,20,0,False,Below,90,Close,Non Dominant,word,click
299,participant_31,2,4,5,299,posture,Left_Close_90_Beside,1567119673404,1567119675281,1567119675281,1915,1319,3234,1877,29,0,False,Beside,90,Close,Non Dominant,click,word
301,participant_31,2,4,6,301,posture,Left_Close_180_On,1567119677569,1567119678782,1567119678782,2182,1221,3403,1213,22,10,False,On,180,Close,Non Dominant,word,click
303,participant_31,2,4,7,303,posture,Left_Close_180_Below,1567119680035,1567119681177,1567119681177,1174,1627,2801,1142,20,6,False,Below,180,Close,Non Dominant,click,click
305,participant_31,2,4,8,305,posture,Left_Close_180_Beside,1567119682833,1567119684117,1567119684117,1313,1449,2762,1284,18,13,False,Beside,180,Close,Non Dominant,click,word
307,participant_31,2,4,9,307,posture,Left_Open_0_On,1567119686837,1567119687910,1567119687910,2344,1495,3839,1073,29,0,False,On,0,Open,Non Dominant,word,word
309,participant_31,2,4,10,309,posture,Left_Open_0_Below,1567119690337,1567119691647,1567119691647,2242,1791,4033,1310,27,7,False,Below,0,Open,Non Dominant,word,click
311,participant_31,2,4,11,311,posture,Left_Open_0_Beside,1567119693470,1567119694383,1567119694383,945,1318,2263,913,23,4,False,Beside,0,Open,Non Dominant,click,word
313,participant_31,2,4,12,313,posture,Left_Open_90_On,1567119696501,1567119697717,1567119697717,2016,1285,3301,1216,28,0,False,On,90,Open,Non Dominant,word,click
315,participant_31,2,4,13,315,posture,Left_Open_90_Below,1567119699036,1567119700149,1567119700149,1147,1218,2365,1113,23,0,False,Below,90,Open,Non Dominant,click,word
317,participant_31,2,4,14,317,posture,Left_Open_90_Beside,1567119702233,1567119703381,1567119703381,2014,1421,3435,1148,23,4,False,Beside,90,Open,Non Dominant,word,click
321,participant_31,2,4,16,321,posture,Left_Open_180_Below,1567119709037,1567119710149,1567119710149,2345,989,3334,1112,19,10,False,Below,180,Open,Non Dominant,word,word
323,participant_31,2,4,17,323,posture,Left_Open_180_Beside,1567119711936,1567119713380,1567119713380,2242,1292,3534,1444,23,9,False,Beside,180,Open,Non Dominant,word,click
325,participant_31,2,4,18,325,posture,Right_Close_0_On,1567119714704,1567119716448,1567119716448,1776,1522,3298,1744,20,11,False,On,0,Close,Dominant,click,click
327,participant_31,2,4,19,327,posture,Right_Close_0_Below,1567119718003,1567119720046,1567119720046,2076,1726,3802,2043,30,0,False,Below,0,Close,Dominant,click,word
